SN,ACC,SP,F1,MCC,TP,TN,FP,FN,ROC_AUC,PR_AUC,fold
0.9512635379061372,0.9598194130925508,0.9683830171635049,0.9594902139280838,0.9197747941838889,1054,1072,35,54,0.9882598103959379,0.986016020317932,1
0.967479674796748,0.9507900677200903,0.9341155234657039,0.9515770768547313,0.9020851489104934,1071,1035,73,36,0.988390256947094,0.9847010314769142,2
0.9448961156278229,0.9543812104787714,0.96386630532972,0.9539443684450525,0.9089259824059531,1046,1067,40,61,0.9936733393229746,0.9937804477751687,3
0.959349593495935,0.9588979223125564,0.9584462511291779,0.9589164785553047,0.917796219098635,1062,1061,46,45,0.9921702167940077,0.9928670301065774,4
0.960252935862692,0.9611562782294489,0.962059620596206,0.961121157323689,0.9223140617272761,1063,1065,42,44,0.9940181109128164,0.9942964906065207,5
